game_id,season,game_type,week,gameday,weekday,gametime,away_team,away_score,home_team,home_score,location,result,total,overtime,old_game_id,gsis,nfl_detail_id,pfr,pff,espn,ftn,away_rest,home_rest,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,div_game,roof,surface,temp,wind,away_qb_id,home_qb_id,away_qb_name,home_qb_name,away_coach,home_coach,referee,stadium_id,stadium
2026_01_NE_SEA,2026,REG,1,2026-09-09,Wednesday,20:20,NE,10,SEA,13,Home,3,23,0,2026090900,60178,,202609090sea,30606,401872656,7019,7,7,140,-166,3,-102,-118,44.5,-112,-108,0,outdoors,fieldturf,74,6,00-0039851,00-0034869,Drake Maye,Sam Darnold,Mike Vrabel,Mike Macdonald,Adrian Hill,SEA00,Lumen Field
2026_01_SF_LA,2026,REG,1,2026-09-10,Thursday,20:35,SF,27,LA,7,Neutral,-20,34,0,2026091100,60179,,202609100ram,30607,401872657,7020,7,7,180,-218,3.5,-105,-115,47.5,-105,-115,1,dome,grass,57,4,00-0037834,00-0026498,Brock Purdy,Matthew Stafford,Kyle Shanahan,Sean McVay,Alex Kemp,MEL00,Melbourne Cricket Ground
2026_01_CHI_CAR,2026,REG,1,2026-09-13,Sunday,13:00,CHI,59,CAR,37,Home,-22,96,0,2026091300,60180,,202609130car,30609,401872661,7021,7,7,-166,140,-3,-112,-108,47.5,-115,-105,0,outdoors,grass,89,2,00-0039918,00-0039150,Caleb Williams,Bryce Young,Ben Johnson,Dave Canales,Brad Allen,CAR00,Bank of America Stadium
2026_01_TB_CIN,2026,REG,1,2026-09-13,Sunday,13:00,TB,27,CIN,33,Home,6,60,0,2026091301,60181,,202609130cin,30610,401872925,7022,7,7,170,-205,3.5,-102,-118,50.5,-112,-108,0,outdoors,fieldturf,85,7,00-0034855,00-0036442,Baker Mayfield,Joe Burrow,Todd Bowles,Zac Taylor,John Hussey,CIN00,Paycor Stadium
2026_01_NO_DET,2026,REG,1,2026-09-13,Sunday,13:00,NO,30,DET,31,Home,1,61,1,2026091302,60182,,202609130det,30611,401872923,7023,7,7,260,-325,7,-110,-110,49.5,-105,-115,0,dome,fieldturf,,,00-0040743,00-0033106,Tyler Shough,Jared Goff,Kellen Moore,Dan Campbell,Alan Eck,DET00,Ford Field
2026_01_BUF_HOU,2026,REG,1,2026-09-13,Sunday,13:00,BUF,36,HOU,31,Home,-5,67,0,2026091303,60183,,202609130htx,30612,401872660,7024,7,7,-112,-108,-1.5,-105,-115,44.5,-110,-110,0,closed,astroturf,,,00-0034857,00-0039163,Josh Allen,C.J. Stroud,Sean McDermott,DeMeco Ryans,Alex Moore,HOU00,Reliant Stadium
2026_01_BAL_IND,2026,REG,1,2026-09-13,Sunday,13:00,BAL,41,IND,23,Home,-18,64,0,2026091304,60184,,202609130clt,30613,401872659,7025,7,7,-162,136,-3,-108,-112,48.5,-118,-102,0,closed,fieldturf,,,00-0034796,00-0035710,Lamar Jackson,Daniel Jones,Jesse Minter,Shane Steichen,Scott Novak,IND00,Lucas Oil Stadium
2026_01_CLE_JAX,2026,REG,1,2026-09-13,Sunday,13:00,CLE,10,JAX,34,Home,24,44,0,2026091305,60185,,202609130jax,30614,401872922,7026,7,7,360,-470,8.5,-105,-115,40.5,-118,-102,0,outdoors,grass,89,3,00-0033537,00-0036971,Deshaun Watson,Trevor Lawrence,Todd Monken,Liam Coen,Craig Wrolstad,JAX00,EverBank Stadium
2026_01_ATL_PIT,2026,REG,1,2026-09-13,Sunday,13:00,ATL,13,PIT,20,Home,7,33,0,2026091306,60186,,202609130pit,30615,401872658,7027,7,7,240,-298,6.5,-108,-112,40.5,-108,-112,0,outdoors,grass,77,4,00-0033662,00-0023459,Cooper Rush,Aaron Rodgers,Raheem Morris,Mike McCarthy,Brad Rogers,PIT00,Acrisure Stadium
2026_01_NYJ_TEN,2026,REG,1,2026-09-13,Sunday,13:00,NYJ,23,TEN,10,Home,-13,33,0,2026091307,60187,,202609130oti,30616,401872924,7028,7,7,-102,-118,1.5,-115,-105,39.5,-110,-110,0,outdoors,grass,90,2,00-0030565,00-0040676,Geno Smith,Cam Ward,Aaron Glenn,Robert Saleh,Land Clark,NAS00,Nissan Stadium
